query_id,query_type,method,selected_method,mrr,recall@1,recall@3,recall@5,first_rank
q00036,2,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00037,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00039,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00040,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00041,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00042,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00043,3,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00044,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00045,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00046,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00048,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00049,1,query_type_router,vector,0.014492753623188406,0.0,0.0,0.0,69
q00050,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00051,3,query_type_router,type_aware,0.03333333333333333,0.0,0.0,0.0,30
q00052,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00053,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00054,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00055,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00056,1,query_type_router,vector,0.14285714285714285,0.0,0.0,0.0,7
q00058,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00059,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00060,3,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00061,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00062,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00063,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00064,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00065,3,query_type_router,type_aware,0.03571428571428571,0.0,0.0,0.0,28
q00066,1,query_type_router,vector,0.09090909090909091,0.0,0.0,0.0,11
q00067,1,query_type_router,vector,0.1111111111111111,0.0,0.0,0.0,9
q00068,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00069,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00070,3,query_type_router,type_aware,0.015151515151515152,0.0,0.0,0.0,66
q00071,1,query_type_router,vector,0.14285714285714285,0.0,0.0,0.0,7
q00072,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00073,2,query_type_router,type_aware,0.011627906976744186,0.0,0.0,0.0,86
q00074,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00075,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00076,1,query_type_router,vector,0.1111111111111111,0.0,0.0,0.0,9
q00077,1,query_type_router,vector,0.07692307692307693,0.0,0.0,0.0,13
q00078,3,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00079,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00080,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00081,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00082,3,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00084,4,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00085,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00086,4,query_type_router,type_aware,0.0196078431372549,0.0,0.0,0.0,51
q00087,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00088,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00089,4,query_type_router,type_aware,0.1,0.0,0.0,0.0,10
q00091,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00092,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00093,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00094,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00095,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00096,4,query_type_router,type_aware,0.03571428571428571,0.0,0.0,0.0,28
q00097,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00098,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00099,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00100,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00101,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00103,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00104,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00105,4,query_type_router,type_aware,0.2,0.0,0.0,1.0,5
q00106,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00107,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00109,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00110,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00113,4,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00114,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00115,4,query_type_router,type_aware,0.022727272727272728,0.0,0.0,0.0,44
q00116,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00117,4,query_type_router,type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00118,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00119,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00121,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00122,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00123,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00124,4,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00125,4,query_type_router,type_aware,0.05,0.0,0.0,0.0,20
q00127,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00128,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00129,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00130,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00131,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00132,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00133,4,query_type_router,type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00134,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00135,4,query_type_router,type_aware,0.1,0.0,0.0,0.0,10
q00136,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00137,4,query_type_router,type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00138,4,query_type_router,type_aware,0.05555555555555555,0.0,0.0,0.0,18
q00141,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00142,4,query_type_router,type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00144,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00145,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00146,4,query_type_router,type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00147,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00148,4,query_type_router,type_aware,0.05263157894736842,0.0,0.0,0.0,19
q00149,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00151,4,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00152,4,query_type_router,type_aware,0.05263157894736842,0.0,0.0,0.0,19
q00153,5,query_type_router,keyword,0.16666666666666666,0.0,0.0,0.0,6
q00154,5,query_type_router,keyword,0.022727272727272728,0.0,0.0,0.0,44
q00155,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00156,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00157,5,query_type_router,keyword,0.0014285714285714286,0.0,0.0,0.0,700
q00158,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00159,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00160,5,query_type_router,keyword,0.16666666666666666,0.0,0.0,0.0,6
q00161,5,query_type_router,keyword,0.02127659574468085,0.0,0.0,0.0,47
q00162,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00163,5,query_type_router,keyword,0.0006333122229259025,0.0,0.0,0.0,1579
q00164,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00165,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00166,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00167,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00169,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00171,5,query_type_router,keyword,0.030303030303030304,0.0,0.0,0.0,33
q00172,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00173,5,query_type_router,keyword,0.004524886877828055,0.0,0.0,0.0,221
q00174,5,query_type_router,keyword,0.03333333333333333,0.0,0.0,0.0,30
q00175,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00176,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00178,5,query_type_router,keyword,0.25,0.0,0.0,1.0,4
q00179,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00181,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00182,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00183,5,query_type_router,keyword,0.3333333333333333,0.0,1.0,1.0,3
q00184,5,query_type_router,keyword,0.045454545454545456,0.0,0.0,0.0,22
q00185,5,query_type_router,keyword,0.002232142857142857,0.0,0.0,0.0,448
q00186,5,query_type_router,keyword,0.045454545454545456,0.0,0.0,0.0,22
q00187,5,query_type_router,keyword,0.1,0.0,0.0,0.0,10
q00188,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00189,5,query_type_router,keyword,0.037037037037037035,0.0,0.0,0.0,27
q00190,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00192,5,query_type_router,keyword,0.3333333333333333,0.0,1.0,1.0,3
q00193,5,query_type_router,keyword,0.14285714285714285,0.0,0.0,0.0,7
q00194,5,query_type_router,keyword,0.011235955056179775,0.0,0.0,0.0,89
q00195,5,query_type_router,keyword,0.2,0.0,0.0,1.0,5
q00196,5,query_type_router,keyword,0.0021598272138228943,0.0,0.0,0.0,463
q00197,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00198,5,query_type_router,keyword,0.0017574692442882249,0.0,0.0,0.0,569
q00199,5,query_type_router,keyword,0.16666666666666666,0.0,0.0,0.0,6
q00200,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00201,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00202,4,query_type_router,type_aware,0.00684931506849315,0.0,0.0,0.0,146
q00203,1,query_type_router,vector,0.038461538461538464,0.0,0.0,0.0,26
q00204,4,query_type_router,type_aware,0.2,0.0,0.0,1.0,5
q00205,1,query_type_router,vector,0.2,0.0,0.0,1.0,5
q00206,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00207,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00208,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00209,1,query_type_router,vector,0.043478260869565216,0.0,0.0,0.0,23
q00210,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00211,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00212,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00213,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00214,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00215,2,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00216,2,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00217,1,query_type_router,vector,0.0625,0.0,0.0,0.0,16
q00218,1,query_type_router,vector,0.03225806451612903,0.0,0.0,0.0,31
q00219,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00220,2,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00221,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00222,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00223,1,query_type_router,vector,0.07692307692307693,0.0,0.0,0.0,13
q00224,1,query_type_router,vector,0.14285714285714285,0.0,0.0,0.0,7
q00225,1,query_type_router,vector,0.16666666666666666,0.0,0.0,0.0,6
q00226,2,query_type_router,type_aware,0.08333333333333333,0.0,0.0,0.0,12
q00227,1,query_type_router,vector,0.1,0.0,0.0,0.0,10
q00228,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00229,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00230,2,query_type_router,type_aware,0.06666666666666667,0.0,0.0,0.0,15
q00231,1,query_type_router,vector,0.25,0.0,0.0,1.0,4
q00232,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00233,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00234,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00235,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00236,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00238,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00239,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00240,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00241,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00242,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00244,4,query_type_router,type_aware,0.002053388090349076,0.0,0.0,0.0,487
q00246,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00247,4,query_type_router,type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00248,4,query_type_router,type_aware,0.045454545454545456,0.0,0.0,0.0,22
q00249,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00250,4,query_type_router,type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00251,4,query_type_router,type_aware,0.1111111111111111,0.0,0.0,0.0,9
q00253,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00254,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00255,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00256,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00258,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00259,4,query_type_router,type_aware,0.2,0.0,0.0,1.0,5
q00260,4,query_type_router,type_aware,0.0196078431372549,0.0,0.0,0.0,51
q00261,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00262,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00263,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00264,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00265,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00266,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00267,4,query_type_router,type_aware,0.07142857142857142,0.0,0.0,0.0,14
q00268,4,query_type_router,type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00269,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00270,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00271,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00275,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00277,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00279,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00280,4,query_type_router,type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00281,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00282,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00283,5,query_type_router,keyword,0.015151515151515152,0.0,0.0,0.0,66
q00284,5,query_type_router,keyword,0.3333333333333333,0.0,1.0,1.0,3
q00286,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00287,5,query_type_router,keyword,0.08333333333333333,0.0,0.0,0.0,12
q00288,5,query_type_router,keyword,0.007462686567164179,0.0,0.0,0.0,134
q00289,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00290,5,query_type_router,keyword,0.014084507042253521,0.0,0.0,0.0,71
q00291,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00292,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00293,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00294,5,query_type_router,keyword,0.009708737864077669,0.0,0.0,0.0,103
q00295,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00296,5,query_type_router,keyword,0.0625,0.0,0.0,0.0,16
q00297,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00298,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00299,5,query_type_router,keyword,0.027777777777777776,0.0,0.0,0.0,36
q00300,5,query_type_router,keyword,0.000925925925925926,0.0,0.0,0.0,1080
q00301,5,query_type_router,keyword,0.5,0.0,1.0,1.0,2
q00302,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00303,5,query_type_router,keyword,1.0,1.0,1.0,1.0,1
q00304,5,query_type_router,keyword,0.0015290519877675841,0.0,0.0,0.0,654
q00305,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00306,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00307,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00308,1,query_type_router,vector,0.045454545454545456,0.0,0.0,0.0,22
q00309,2,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00310,2,query_type_router,type_aware,0.0064516129032258064,0.0,0.0,0.0,155
q00311,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00312,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00313,3,query_type_router,type_aware,0.02857142857142857,0.0,0.0,0.0,35
q00314,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00315,2,query_type_router,type_aware,0.02857142857142857,0.0,0.0,0.0,35
q00316,1,query_type_router,vector,0.041666666666666664,0.0,0.0,0.0,24
q00317,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00318,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00319,3,query_type_router,type_aware,0.013333333333333334,0.0,0.0,0.0,75
q00320,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00322,3,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00323,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00324,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00325,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00326,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00327,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00328,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00329,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00330,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00331,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00332,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00333,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00334,1,query_type_router,vector,0.1111111111111111,0.0,0.0,0.0,9
q00335,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00336,2,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00337,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00338,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00339,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00340,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00341,1,query_type_router,vector,0.5,0.0,1.0,1.0,2
q00342,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00345,1,query_type_router,vector,0.25,0.0,0.0,1.0,4
q00347,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00348,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00349,1,query_type_router,vector,0.3333333333333333,0.0,1.0,1.0,3
q00350,3,query_type_router,type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00351,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00352,1,query_type_router,vector,0.125,0.0,0.0,0.0,8
q00353,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00354,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00355,3,query_type_router,type_aware,0.07142857142857142,0.0,0.0,0.0,14
q00356,2,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00357,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00358,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00359,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00360,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00361,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00362,1,query_type_router,vector,0.25,0.0,0.0,1.0,4
q00363,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00364,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00365,1,query_type_router,vector,1.0,1.0,1.0,1.0,1
q00367,1,query_type_router,vector,0.07142857142857142,0.0,0.0,0.0,14
q00368,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00369,3,query_type_router,type_aware,0.05555555555555555,0.0,0.0,0.0,18
q00370,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00371,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00372,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00373,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00374,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00375,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00376,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00377,4,query_type_router,type_aware,0.015873015873015872,0.0,0.0,0.0,63
q00378,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00379,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00380,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00381,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00382,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00383,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00384,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00385,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00386,4,query_type_router,type_aware,0.2,0.0,0.0,1.0,5
q00388,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00389,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00390,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00391,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00392,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00393,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00394,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00395,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
q00396,2,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00397,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00399,4,query_type_router,type_aware,0.029411764705882353,0.0,0.0,0.0,34
q00400,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00401,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00402,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00403,4,query_type_router,type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00404,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00405,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00406,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00407,4,query_type_router,type_aware,0.04,0.0,0.0,0.0,25
q00408,4,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00409,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00410,4,query_type_router,type_aware,0.07692307692307693,0.0,0.0,0.0,13
q00411,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00412,4,query_type_router,type_aware,0.05263157894736842,0.0,0.0,0.0,19
q00414,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00415,4,query_type_router,type_aware,0.02,0.0,0.0,0.0,50
q00416,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00417,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00418,4,query_type_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00419,4,query_type_router,type_aware,0.01694915254237288,0.0,0.0,0.0,59
q00420,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00421,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00422,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00423,4,query_type_router,type_aware,0.125,0.0,0.0,0.0,8
q00424,4,query_type_router,type_aware,0.014285714285714285,0.0,0.0,0.0,70
q00425,4,query_type_router,type_aware,0.5,0.0,1.0,1.0,2
q00426,4,query_type_router,type_aware,1.0,1.0,1.0,1.0,1
q00427,4,query_type_router,type_aware,0.0018726591760299626,0.0,0.0,0.0,534
q00428,4,query_type_router,type_aware,0.058823529411764705,0.0,0.0,0.0,17
q00429,4,query_type_router,type_aware,0.25,0.0,0.0,1.0,4
